5302,TeamLease Services Limited,CRISIL BBB+/CRISIL A2,29-May-14,"CRISIL A-/CRISILA2+",22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5303,Tecco Ceramics,CRISIL BB-/CRISIL A4+,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304,Tech Sutre Industries Limited,CRISIL BB+,15-Sep-15,CRISIL BB,3-Mar-17,"CRISIL BB/CRISILA4+",3-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,Techfab India Industries Limited,CRISIL BBB+/CRISIL A2,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5306,Tech-Force Composites Private Limited,CRISIL BB+/CRISIL A4+,13-Oct-14,"CRISIL BBB-/CRISILA3",18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5307,Techmech Engineers,CRISIL B+,21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308,Techna Infrastructure Private Limited,CRISIL BB,28-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5309,Techne Infra India Private Limited,CRISIL B/CRISIL A4,21-Feb-13,"CRISIL B+/CRISILA4",8-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5310,Technical Associates Limited,CRISIL A/CRISIL A1,27-Jun-12,"CRISIL A-/CRISILA2+",29-Aug-13,"CRISIL BBB+/CRISILA2",18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5311,Technical Products Corporation,CRISIL A4+,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5312,Technico Strips and Tubes Private Limited,CRISIL D/CRISIL D,29-Apr-10,"CRISIL B-/CRISILA4",30-May-11,CRISIL B/CRISIL A4,8-Dec-14,"CRISIL B+/CRISILA4",3-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
5313,Techno Electric and Engg Co Limited,CRISIL AA-/CRISIL A1+,17-Sep-08,"CRISIL A+/CRISILA1",6-Sep-13,"CRISIL A+/CRISILA1+",8-Jan-15,"CRISIL AA-/CRISILA1+",6-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,
5314,Techno Exports,CRISIL A4,22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5315,Techno Global Services Private Limited,CRISIL BB-/CRISIL A4+,9-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5316,Techno Power Enterprises Private Limited,CRISIL B/CRISIL A4,28-Sep-12,CRISIL BB,12-Mar-15,"CRISIL BB/CRISILA4+",9-Nov-15,"CRISIL BBB-/CRISIL A3",29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
5317,Techno Sat Comm (India) Private Limited,CRISIL BB-/CRISIL A4+,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5318,Techno Springs India Private Limited,CRISIL BBB-/CRISIL A3,24-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5319,Techno Tarp and Polymers Private Limited,CRISIL BB-/CRISIL A4+,4-Dec-12,"CRISIL BB/CRISILA4+",4-Jul-14,"CRISIL BB+/CRISILA4+",5-Oct-15,"CRISIL BBB-/CRISIL A3",3-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,
5320,Technoart Constructions Private Limited,CRISIL BB-/CRISIL A4+,25-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5321,Technocraft Industries India Limited,CRISIL A+/CRISIL A1+,10-Jun-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5322,Technocrats Plasma Systems Private Limited,CRISIL B/CRISIL A4,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323,Technofab Engineering Limited,CRISIL A-/CRISIL A2+,22-Jun-11,"CRISILBBB+/CRISIL A2",2-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5324,Technoline Engineering,CRISIL B/CRISIL A4,9-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5325,Technomark Engineers India Private Limited,CRISIL B/CRISIL A4,11-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5326,Technova Imaging Systems Private Limited,CRISIL A,1-Jul-95,CRISIL A/CRISIL A1,27-Jan-98,Withdrawal,21-May-99,"CRISIL B-/CRISILA4",14-Apr-09,"CRISILB/CRISIL A4",20-Dec-10,"CRISIL BB-/CRISIL A4+",21-Dec-11,"CRISILBB+/CRISIL A4+",21-Jan-14,"CRISIL BBB-/CRISIL A3",19-Jun-14,"CRISILBBB/CRISIL A3+",18-Dec-15,"CRISILBBB+/CRISIL A2",17-Mar-17,,,,,,,,,,,,
5327,Technovaa Plastic Industries Private Limited,CRISIL B-,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5328,Technovision Auto Components Private Limited,CRISIL BBB-,29-Sep-12,CRISIL BBB,19-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5329,Technoy Motors India Private Limited,CRISIL BB,24-Apr-13,CRISIL BB+,9-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5330,Tecon Tiles Private Limited,CRISIL B+/CRISIL A4,24-Dec-14,"CRISIL BB-/CRISILA4+",24-Dec-15,"CRISIL BB/CRISILA4+",11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5331,Tecpro Systems Limited,CRISIL A/CRISIL A1,29-Sep-08,"CRISIL A+/CRISILA1",28-Oct-10,"CRISIL BBB+/CRISILA2",24-Aug-12,"CRISILBB+/CRISIL A4+",23-Apr-13,"CRISILD/CRISIL D",17-Jul-13,,,,,,,,,,,,,,,,,,,,,,
5332,Tecumseh Products India Private Limited,CRISIL BB/CRISIL A4+,27-Sep-13,"CRISIL BB-/CRISILA4+",6-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5333,Tee Knits,CRISIL A4,29-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5334,Teeam Score,CRISIL B/CRISIL A4,16-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335,Tega Industries (Sez) Limited,CRISIL A/CRISIL A1,25-Apr-14,CRISIL A,6-Feb-15,CRISIL A-,25-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5336,Tega Industries Limited,CRISIL A/CRISIL A1,22-Sep-08,"CRISIL A-/CRISILA2+",25-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,Tegan Texofab Private Limited,CRISIL BB-,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5338,TEJ COKE UNIT - II,CRISIL BB,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5339,Tej Hi-Tech,CRISIL B+/CRISIL A4,29-Mar-14,CRISIL A4,9-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5340,Tej International Private Limited,CRISIL BBB/CRISIL A3+,22-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5341,Tej Shoe Tech,CRISIL BB/CRISIL A4+,28-Dec-12,"CRISIL BB+/CRISILA4+",28-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,Teja Educational Society,CRISIL B+,18-Dec-09,CRISIL BB-,10-Nov-11,CRISIL B+,27-Sep-12,CRISIL BB-,20-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,
5343,Tejas Constructions and Infrastructure Private Limited,CRISIL BB/CRISIL A4+,4-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5344,Tejora Technologies Limited,CRISIL BB+,25-Jul-12,CRISIL BB,23-Sep-13,CRISIL BB+,11-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,Tejpal Motors Private Limited,CRISIL BB+,18-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5346,Teknoflow Green Equipments Private Limited,CRISIL BB,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,Teknomin Construction Limited,CRISIL BB+/CRISIL A4+,23-Apr-12,"CRISIL BBB-/CRISILA3",9-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,Telangana Publications Private Limited,CRISIL B+,23-May-12,"CRISIL BB-/CRISILA4+",2-Feb-15,"CRISIL BB/CRISILA4+",3-Sep-15,"CRISIL BBB-/CRISIL A3",22-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
5349,Telecom Network Solutions Private Limited,CRISIL BBB/CRISIL A3+,20-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,Telecommunications Consultants India Limited,CRISIL AA+,30-Apr-96,"CRISIL AAA/CRISILA1+",6-May-99,CRISIL A1+,22-Dec-05,"CRISIL A+/CRISILA1+",25-May-09,"CRISILA+/CRISIL A1",8-Apr-15,,,,,,,,,,,,,,,,,,,,,,
5351,Teleecare Network India Private Limited,CRISIL BB+/CRISIL A4+,9-Apr-10,Suspended,13-Aug-14,"CRISIL BBB-/CRISILA3",30-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,
5352,Telmos Automobiles Private Limited,CRISIL BB-,5-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,Temple City Developers Private Limited,CRISIL B-/CRISIL A4,14-Feb-14,CRISIL D,25-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5354,Temple Packaging Private Limited,CRISIL BBB+/CRISIL A2,17-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,Ten Construction India Private Limited,CRISIL B/CRISIL A4,15-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5356,Tenkasi Timber and Saw Mill,CRISIL B+/CRISIL A4,17-Apr-13,CRISIL B/CRISIL A4,7-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5357,Tenon Facility Management India Private Limited,CRISIL BBB/CRISIL A3+,25-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,Tentiwala Metal Products Limited,CRISIL B+,8-Aug-14,CRISIL D,17-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,Tenty Marketing Co Private Limited,CRISIL B-/CRISIL A4,8-Apr-13,"CRISIL B+/CRISILA4",29-Oct-14,"CRISIL BB-/CRISILA4+",7-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5360,Terai Ispat & Trading Pvt. Ltd.,CRISIL B,12-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5361,Terai Overseas Private Limited,CRISIL B+,12-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362,Terai Tea Co. Limited,CRISIL BBB/CRISIL A3+,24-Sep-10,"CRISIL BBB-/CRISILA3",7-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5363,Terra Developers,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,Tesna Tech Private Limited,CRISIL BB,18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Tessitura Monti India Private Limited,CRISIL A-/CRISIL A2+,2-Apr-08,"CRISILBBB+/CRISIL A2",19-Nov-10,"CRISIL BBB/CRISILA3+",30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5366,Tessolve Semiconductor Private Limited,CRISIL D/CRISIL D,30-Mar-11,CRISIL B/CRISIL A4,18-Oct-12,"CRISIL BB-/CRISILA4+",24-Feb-14,"CRISIL BB/CRISILA4+",26-May-15,"CRISILBBB/CRISIL A3+",25-Jan-17,,,,,,,,,,,,,,,,,,,,,,
5367,Tex Corp Limited,CRISIL BBB/CRISIL A3+,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
5368,Texaco Synthetics Private Limited,CRISIL BB-,12-Mar-14,CRISIL BB,20-Apr-15,CRISIL BB-,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5369,Texas Lifestyle Furniture Private Limited,CRISIL D/CRISIL D,24-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5370,Texcel International Private Limited,CRISIL C/CRISIL A4,10-Jan-12,CRISIL D/CRISIL D,15-Apr-13,CRISIL B-/CRISIL A4,26-Jun-13,"CRISIL B+/CRISILA4",4-Jul-14,"CRISILBB/CRISIL A4+",15-Oct-15,,,,,,,,,,,,,,,,,,,,,,
5371,Texla Plastics and Metals Private Limited,CRISIL BB,15-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5372,Texmaco Hi-Tech Private Limited,CRISIL BBB+/CRISIL A2,5-Jul-13,"CRISIL BBB/CRISILA3+",28-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5373,Texmo Industries,CRISIL A/CRISIL A1,28-Oct-10,"CRISIL A+/CRISILA1",27-Jan-14,"CRISIL A+/CRISILA1+",23-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5374,Texmo Pipes and Products Limited,CRISIL BB+/CRISIL A4+,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5375,Texool Limited,CRISIL BB-/CRISIL A4+,26-Jul-11,CRISIL D,31-Jan-13,CRISIL D/CRISIL D,27-Mar-14,"CRISIL B-/CRISILA4",27-Apr-15,"CRISILB/CRISIL A4",27-Jan-16,,,,,,,,,,,,,,,,,,,,,,
5376,TGI Packaging Private Limited,CRISIL B/CRISIL A4,20-Jan-14,"CRISIL B+/CRISILA4",13-Jan-15,CRISIL BB,25-May-16,CRISIL BB+,5-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,
5377,TGS Minmet Private Limited,CRISIL B+/CRISIL A4,24-Dec-15,"CRISIL BB-/CRISILA4+",20-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5378,Thakardhani Agro Product Private Limited,CRISIL B+,24-Jun-14,CRISIL BB-,1-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5379,Thakkar Popatlal Velji Sales Limited,CRISIL BBB-,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5380,Thakkarsons Roll Forming Private Limited,CRISIL BB-,19-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5381,Thakur Infraprojects Private Limited,CRISIL BBB/CRISIL A3+,24-Apr-13,"CRISILBBB+/CRISIL A2",27-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,"Thakur V. S. Bidi Works, Poona",CRISIL BB-,29-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5383,Thakurji Solvex Private Limited,CRISIL BB+,6-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5384,Thamanian Agro Foods,CRISIL B+,18-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5385,Thampuran Cashews,CRISIL BB-/CRISIL A4+,30-Aug-14,"CRISIL B+/CRISILA4",24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5386,Thane Municipal Corporation,CRISIL AA(SO),9-Jan-04,Withdrawal,17-Feb-10,CCR AA-/CRISIL AA-,16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5387,Thanjavur Spinning Mill Limited,CRISIL BB+,6-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,Thankam Cashew Factory,CRISIL BB-,7-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5389,Thankys Exports Private Limited,CRISIL BB,29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5390,Thar Handloom Pvt. Ltd.,CRISIL BB-,6-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,Tharu Janjati Mahila Vikas Samiti,CRISIL B+,3-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5392,Tharun Texspin Mills Private Limited,CRISIL B+,28-Nov-14,Suspended,17-Jun-16,CRISIL BB,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,"The Aircraft Employees Credit Cooperative SocietyLimited",CRISIL BBB-,1-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5394,The Ananda Bag Tea Co. Ltd.,CRISIL BB+/CRISIL A4+,1-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5395,The Arasan Aluminium Industries Private Limited,CRISIL BB+/CRISIL A4+,9-Oct-13,"CRISIL BBB-/CRISILA3",24-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5396,The Arya Vaidya Pharmacy (Coimbatore) Limited,CRISIL BB+/CRISIL A4,7-Nov-08,"CRISIL BB+/CRISILA4+",15-Sep-09,CRISIL BB+,21-Sep-10,,,,,,,,,,,,,,,,,,,,,,,,,,
5397,The Asian Traders India,CRISIL A2,17-Dec-09,CRISIL A3+,24-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5398,The Automotive Research Association of India,CRISIL A1+,29-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,The Bank of Nova Scotia,CRISIL A1+,22-Nov-00,Withdrawal,20-Jun-03,CRISIL A1+,30-Aug-06,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,The Be Be Rubber Estates Limited,CRISIL B-,21-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,The Bishops Education Society,CRISIL BBB,1-Feb-10,Suspended,31-Aug-12,CRISIL BBB,8-Apr-14,CRISIL BBB+,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
5402,The Buxa Dooars Tea Co. India Limited,CRISIL B-/CRISIL A4,22-Nov-12,CRISIL D/CRISIL D,24-Jun-15,CRISIL B-/CRISIL A4,6-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5403,"The Cardamom Planters' Marketing Co-OperativeSociety Ltd",CRISIL A-/CRISIL A2+,27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5404,The Chennai Shopping Mall-Jewellers,CRISIL BBB-,12-Oct-15,CRISIL BB+,11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5405,The Cots Knits,CRISIL D/CRISIL D,1-Feb-13,Suspended,12-Dec-14,CRISIL B/CRISIL A4,19-Mar-15,"CRISIL B+/CRISILA4",1-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
5406,The Cotton and Textile Corp,CRISIL B+/CRISIL A4,27-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5407,The Creative Texture,CRISIL B,17-Oct-13,Suspended,21-Apr-15,CRISIL B+/CRISIL A4,14-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5408,The Daily Thanthi,CRISIL BBB/CRISIL A3+,19-Dec-13,"CRISIL BBB-/CRISILA3",11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5409,The Devicolam Distilleries Limited,CRISIL B-,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,The Dharmapuri Roller Flour Mills,CRISIL BB-/CRISIL A4,16-Jul-09,"CRISIL BB-/CRISILA4+",15-Sep-09,"CRISIL BB/CRISILA4+",17-Jun-10,"CRISILBB+/CRISIL A4+",24-Aug-11,"CRISIL BBB-/CRISIL A3",12-May-14,"CRISIL BBB-/CRISIL A3+",1-Jun-16,,,,,,,,,,,,,,,,,,,,
5411,The Dolaguri Tea Co Pvt Ltd,CRISIL BB,1-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5412,The Fertilisers and Chemicals Travancore Limited,FAA/CRISIL A1+,30-Sep-95,FA,22-Oct-98,FB+,3-May-00,Suspended,19-Jan-01,Withdrawal,20-May-09,"CRISIL BB-/CRISIL A4+",23-Sep-09,"CRISIL C/CRISILA4",21-Sep-15,"CRISIL B+/CRISILA4",22-Dec-16,,,,,,,,,,,,,,,,
5413,"The Green Environment Services Co-OperativeSociety Limited",CRISIL BBB-,25-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5414,"The Haryana State Cooperative Supply and MarketingFederation Limited",CRISIL A-,22-Apr-13,"CRISIL A-/CRISILA2+",2-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5415,The Highland Produce Co.Limited,CRISIL BB/CRISIL A4,27-Mar-09,"CRISIL BB/CRISILA4+",15-Sep-09,"CRISIL BB+/CRISILA4+",16-Feb-10,"CRISIL BB/CRISILA4+",4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
5416,The Himanis,CRISIL B+,30-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5417,The Incoda,CRISIL BB,6-Feb-12,CRISIL BB+,24-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5418,The India Thermit Corporation Limited,CRISIL A2+,27-Jan-11,"CRISIL A-/CRISILA2+",9-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5419,The Jammu and Kashmir Bank Limited,CRISIL A1+,30-Jun-96,FAA/CRISIL A1+,17-May-05,FAA+/CRISIL A1+,8-May-07,"CRISIL AA-/FAA+/CRISIL A1+",18-Sep-07,"FAA+/CRISILA1+",29-Dec-09,FAA/CRISIL A1+,22-Oct-14,FAA-/CRISIL A1+,8-Nov-16,,,,,,,,,,,,,,,,,,
5420,"The Jamshri Ranjitsinghji Spinning And Weaving MillsCompany Limited",CRISIL BB-,24-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,The Jewelry Co.,CRISIL BBB+,31-Dec-13,CRISIL A2,6-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5422,The Jorehaut Tea Limited,CRISIL B,23-Nov-09,CRISIL BB-,15-Nov-10,CRISIL BB,16-Feb-12,CRISIL BB+,20-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,
5423,The Josco Fashion Jewellers,CRISIL BBB+,23-Nov-10,"CRISILBBB+/CRISIL A2",22-Sep-11,"CRISIL BBB/CRISILA3+",20-Nov-12,"CRISIL BBB-/CRISIL A3",24-Feb-14,CRISIL BBB-,21-Apr-15,,,,,,,,,,,,,,,,,,,,,,
5424,The Jute Corporation of India Limited,CRISIL BBB+,31-Dec-09,CRISIL A,28-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425,The Kadri Mills (Cbe) Limited,CRISIL BBB-/CRISIL A3,29-Jan-10,"CRISIL BBB/CRISILA3+",22-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5426,The Kalgidhar Society,CRISIL BBB/CRISIL A3+,28-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5427,The Kalgidhar Trust,CRISIL BBB/CRISIL A3+,29-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5428,The Karanpur Ginning and Pressing Co Private Limited,CRISIL B,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,The Karur Vysya Bank Limited,CRISIL A1+,29-Jul-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5430,The KCP Limited,CRISIL A-/CRISIL A2+,21-Aug-08,"CRISIL A-/FA/CRISIL A2+",27-Jun-13,"CRISIL BBB+/FA-/CRISIL A2",22-Oct-13,"CRISIL A-/FA/CRISIL A2+",5-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
5431,"The Kerala Cardamom Processing and MarketingCompany Limited",CRISIL BBB+/CRISIL A2,29-Oct-10,"CRISIL A-/CRISILA2+",4-Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,The Kerala Khadi and Village Industries Association,CRISIL BB-,16-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,The Kerala Minerals and Metals Limited,CRISIL BBB-,11-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,The Kuttanad Rubber Co Ltd,CRISIL B,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5435,The LNM Institute of Information Technology,CRISIL BBB,15-Feb-16,CRISIL BBB+,11-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5436,The Mathrubhumi Printing and Publishing Co. Limited,CRISIL A/CRISIL A1,4-Apr-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5437,The Metal Powder Company Limited,CRISIL A-/CRISIL A2+,27-Feb-12,CRISIL A-,22-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438,The Muslim Educational Society (Regd.) Calicut,CRISIL B/CRISIL A4,6-Feb-13,"CRISIL BB/CRISILA4+",20-May-14,CRISIL D/CRISIL D,7-Jul-15,"CRISIL B-/CRISILA4",23-Oct-15,"CRISILB+/CRISIL A4",10-Nov-16,,,,,,,,,,,,,,,,,,,,,,
5439,The Mysore Paper Mills Limited,CRISIL BB+/CRISIL A4,29-Dec-08,"CRISIL BB/CRISILA4",24-Aug-09,"CRISIL BB/CRISILA4+",15-Sep-09,"CRISIL C/CRISILA4",1-Dec-10,"CRISILD/CRISIL D",16-May-13,,,,,,,,,,,,,,,,,,,,,,
5440,The Nadar Press Limited,CRISIL B-,28-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,The Naihati Jute Mills Co Limited,CRISIL B+/CRISIL A4,29-Jul-10,"CRISIL BB-/CRISILA4+",1-Aug-12,"CRISIL BB/CRISILA4+",22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5442,The National Small Industries Corporation Limited,CRISIL AAA(SO),16-Aug-05,Withdrawal,13-Jan-09,CRISIL A1+,6-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5443,The New India Assurance Company Limited,CRISIL AAA,4-Apr-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,The Oriental Insurance Company Limited,CRISIL AAA,15-Sep-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5445,"The Panchmahal District Co-Op. Milk Producers UnionLimited",CCR AA/CRISIL AAA(SO),4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,The Phosphate Company Limited,CRISIL BB-/CRISIL A4+,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5447,The Printers (Mysore) Private Limited,CRISIL A/CRISIL A1,25-Nov-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5448,"The Railway Employees Co-Operative Credit SocietyLimited",CRISIL A3+,31-Jan-12,"CRISIL BBB/CRISILA3+",18-Oct-13,CRISIL BBB+,4-Aug-14,CRISIL A-,14-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
5449,The Rajlakshmi Cotton Mills Private Limited,CRISIL BB+/CRISIL A4+,27-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5450,The Ramaraju Surgical Cotton Mills Limited,CRISIL A1,29-Jul-97,Withdrawal,9-Nov-02,"CRISIL BBB-/CRISILA3",30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
