4032,Greata Enterprises And Developers Private Limited,CRISIL B+,25-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033,Greatship India Limited,CRISIL AAA(SO),1-Sep-08,CRISIL AA+(SO),16-Feb-09,"CRISIL AA/CRISILAA+(SO)/CRISIL A1+",9-Apr-12,"CRISIL AA/CRISILAA+(SO)",25-Apr-13,CRISIL AA,21-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034,Greccy Knit,CRISIL B-,25-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035,Green Agro Pack Private Limited,CRISIL B/CRISIL A4,31-Dec-09,CRISIL D/CRISIL D,25-Feb-14,Suspended,17-Aug-15,CRISIL D/CRISIL,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision","Rating after 16thRevision","Date of 16thRevision","Rating after 17thRevision","Date of 17thRevision","Rating after 18thRevision","Date of 18thRevision"
4036,Green Fingers India Private Limited,CRISIL B+/CRISIL A4,28-Dec-11,"CRISIL BB-/CRISILA4+",8-Mar-13,Suspended,28-Nov-14,"CRISIL BB-/CRISIL A4+",4-Feb-15,"CRISILB/CRISIL A4",11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4037,Green Power Sugars Limited,CRISIL B+,18-Dec-13,CRISIL B,12-May-15,CRISIL BB-,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4038,Green Shield Enterprises Private Limited,CRISIL B/CRISIL A4,7-Jun-13,"CRISIL B+/CRISILA4",5-Aug-14,CRISIL D/CRISIL D,10-Sep-15,"CRISIL C/CRISILA4",22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4039,Green Teak (India) Private Limited,CRISIL B-,26-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4040,Green Woodcrafts Private Limited,CRISIL B+/CRISIL A4,31-Jan-11,Suspended,2-Apr-15,CRISIL B+/CRISIL A4,23-Apr-15,Suspended,23-Apr-16,"CRISILB+/CRISIL A4",27-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4041,Greenage Griha Nirman Private Limited,CRISIL BBB+,30-Sep-08,CRISIL A,4-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4042,Greenbilt Industries Private Limited,CRISIL B,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4043,Greencrop International Private Limited,CRISIL B+,29-Jul-13,CRISIL B,25-Jun-15,CRISIL B-,25-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4044,GreeNeem Agri (P) Ltd.,CRISIL B+/CRISIL A4,31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,Greenglobe Fuel Solutions,CRISIL A4+,9-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4046,Greenleaf Tobacco Threshers Limited,CRISIL BB-,18-Feb-10,CRISIL BB,14-Apr-11,CRISIL C,28-Oct-15,CRISIL B-,8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4047,Greenway Clothings India Private Limited,CRISIL BB-/CRISIL A4+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4048,Greenwood High Trust,CRISIL BB,28-Sep-10,CRISIL BBB-,16-Mar-11,CRISIL BBB,18-Jun-12,CRISIL A-,26-Mar-13,CRISIL A,2-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4049,Greenwood Poultries,CRISIL B+,22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,Greeshmam Resorts Private Limited,CRISIL BB-,18-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,Greta Steels Limited,CRISIL BB-/CRISIL A4+,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4052,GRG Trust,CRISIL BBB-,20-Aug-14,CRISIL BBB,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,Grihith Trade Ventures Private Limited,CRISIL BBB-(SO),14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4054,Grip Engineers Private Limited,CRISIL BBB-/CRISIL A3,27-Dec-10,"CRISIL BB+/CRISILA4+",26-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055,Gritton Ceramics Private Limited,CRISIL B+/CRISIL A4,6-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4056,GRM Overseas Limited,CRISIL A4+,14-Dec-09,"CRISIL BB-/CRISILA4+",29-Jan-13,"CRISIL BB+/CRISILA4+",15-Sep-14,"CRISIL BB/CRISILA4+",6-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057,Grobest Feeds Corporation(India) Private Limited,CRISIL BBB/CRISIL A3+,4-Feb-11,CRISIL BBB,11-Jul-12,"CRISIL BBB/CRISILA3+",10-Aug-12,"CRISILBBB+/CRISIL A2",11-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4058,Grospinz Fabz Limited,CRISIL BB-/CRISIL A4+,26-Oct-09,"CRISIL B+/CRISILA4",9-Apr-12,"CRISIL BB-/CRISILA4+",2-Apr-15,CRISIL BB-,10-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059,Grover Agro Food Private Limited,CRISIL B,11-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,Grover Impex Private Limited,CRISIL B/CRISIL A4,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4061,Grover Zampa Vineyards Limited,CRISIL D/CRISIL D,19-Nov-09,Suspended,28-Feb-13,CRISIL B/CRISIL A4,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4062,Growthpath Solutions Private Limited,CRISIL B,6-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,Groz Engineering Tools Private Limited,CRISIL A-/CRISIL A2+,30-Apr-09,CRISIL A/CRISIL A1,1-Aug-12,"CRISIL A+/CRISILA1+",31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4064,GRP Limited,CRISIL A-/CRISIL A2+,2-Jul-10,"CRISIL A-/CRISILA1",9-Jan-13,"CRISIL A-/CRISILA2+",2-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065,Gruh Finance Limited,FAA-,21-Aug-00,FAA+,30-Jun-03,"CRISILAA/FAA+/CRISIL A1+",16-Sep-03,FAA+/CRISIL A1+,26-May-10,"CRISILAA+/FAAA/CRISIL A1+",2-Apr-13,"CRISILAAA/FAAA/CRISIL A1+",8-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,Gruha Navnirman Developers,CRISIL BB-/CRISIL A4+,12-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4067,GS Motors Private Limited,CRISIL BB-/CRISIL A4+,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4068,GSC Glass Limited,CRISIL BBB+/CRISIL A2,5-Aug-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4069,GSEC Limited,CRISIL BBB-/CRISIL A3,25-Feb-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,GSM Mega Infrastructures Private Limited,CRISIL BB-,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4071,GSM Plus India,CRISIL B/CRISIL A4,21-Nov-14,"CRISIL B+/CRISILA4",10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4072,GSP Crop Science Private Limited,CRISIL BBB-/CRISIL A3,12-Jan-09,"CRISIL BBB/CRISILA3+",22-Nov-13,"CRISIL A-/CRISILA2+",10-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4073,GSR and KKR Educational Society,CRISIL B,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4074,GSR Ventures Private Limited,CRISIL B-/CRISIL A4,30-Sep-10,CRISIL B/CRISIL A4,12-Jul-12,CRISIL B+/CRISIL A4,29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075,GSS Infotech Limited,CRISIL BB-/CRISIL A4+,18-Apr-12,"CRISIL B+/CRISILA4",3-Dec-13,CRISIL B/CRISIL A4,25-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4076,GTFC Limited,CRISIL B/CRISIL A4,29-Oct-10,"CRISIL B+/CRISILA4",27-Jun-14,"CRISIL BB-/CRISILA4+",16-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4077,GTPL Hathway Limited,CRISIL A-/CRISIL A2+,8-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,Gts Coal Sales,CRISIL BB/CRISIL A4+,21-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,GTZ India Private Limited,CRISIL B+/CRISIL A4,3-Sep-13,"CRISIL BB-/CRISILA4+",7-Nov-14,"CRISIL BB/CRISILA4+",27-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080,Gudi Exports Private Limited,CRISIL B-/CRISIL A4,13-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4081,Gudimetla Sundara Rami Reddy & Co,CRISIL B+,7-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4082,Guiness Securities Limited,CRISIL BB-/CRISIL A4+,4-Jun-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,Gujarat Ambuja Exports Limited,CRISIL A1+,30-Mar-01,CRISIL A/CRISIL A1,19-Feb-08,CRISIL A+/CRISIL A1,27-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,Gujarat Containers Limited,CRISIL BB/CRISIL A4+,31-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4085,Gujarat Co-Operative Milk Marketing Federation Limited,CRISIL AAA/CRISIL A1+,26-Jun-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,Gujarat Credo Mineral Industries Limited,CRISIL BBB+/CRISIL A2,15-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4087,Gujarat Dyestuff Industries Private Limited,CRISIL BBB/CRISIL A3+,8-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4088,Gujarat Eco Textile Park Limited,CRISIL BB-/CRISIL A4,9-Mar-09,CRISIL D/CRISIL D,7-Oct-09,CRISIL B-/CRISIL A4,6-Jul-10,CRISIL D/CRISIL,16-Mar-12,CRISIL D,22-Jul-14,CRISIL B-,6-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
4089,Gujarat Export Company,CRISIL BB/CRISIL A4+,31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4090,Gujarat Flotex Private Limited,CRISIL BB+/CRISIL A4+,15-Jan-13,"CRISIL BBB-/CRISILA3",15-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4091,Gujarat Fluorochemicals Limited,CRISIL A1+,2-Sep-97,Withdrawal,9-Feb-01,CRISIL AA-,11-Oct-05,"CRISIL AA-/CRISIL A1+",7-Apr-08,"CRISILAA/CRISIL A1+",7-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4092,Gujarat Forgings Private Limited,CRISIL BBB,30-Jan-12,Suspended,22-Sep-14,CRISIL BBB+,20-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4093,Gujarat Gas Ltd,"CCR AA/CRISIL AA/CRISILA1+",1-Jul-15,"CRISIL AA/CRISILA1+",22-Nov-16,CRISIL AA,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4094,Gujarat Ginning and Oil Industries,CRISIL B-,28-May-10,Suspended,11-Aug-11,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4095,Gujarat Insecticides Limited,CRISIL A-/CRISIL A2+,21-Aug-08,CRISIL A/CRISIL A1,19-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,Gujarat Law Society,CRISIL A4,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4097,Gujarat Organics Limited,CRISIL A/CRISIL A1,16-Sep-10,"CRISIL A+/CRISILA1+",10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4098,Gujarat Pipavav Port Limited,CRISIL BBB-,1-Jan-95,Withdrawal,30-Sep-96,"CRISIL BBB+/CRISILA2",23-Apr-10,"CRISIL A+/CRISILA1",31-May-11,"CRISILA+/CRISIL A1+",28-May-12,"CRISIL AA-/CRISIL A1+",18-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,Gujarat Polysol Chemicals Private Limited,CRISIL BBB-/CRISIL A3,30-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,Gujarat State Petroleum Corporation Limited,CRISIL AA/CRISIL A1+,11-Mar-08,"CRISIL AA/CRISILAAr/CRISIL A1+",16-Nov-09,"CRISIL AA/CRISILA1+",1-Nov-10,"CRISIL AA/CRISILAAr/CRISIL A1+",16-Jun-11,"CRISILAA/CRISIL AA-/CRISILAAr/CRISIL A1+",11-Sep-12,"CRISILA+/CRISIL AA-/CRISIL AA-r/CRISIL A1+",27-Mar-15,"CRISIL A/CRISILA+/CRISILA+r/CRISIL A1",25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,
4101,Gulabchand Badrinarayan,CRISIL B,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,Gulati Brothers,CRISIL B/CRISIL A4,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,Gulbrandsen Chemicals Private Limited,CRISIL BBB+/CRISIL A2,30-Nov-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,Gulbrandsen Technologies India Private Limited,CRISIL BBB/CRISIL A3+,2-Jan-13,"CRISILBBB+/CRISIL A2",26-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,Gulf Engineers and Constructors Private Limited,CRISIL BB/CRISIL A4+,31-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,Gulf Petrochem FZC,CRISIL A-/CRISIL A2+,14-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,Gulf Petrochem India Private Limited,CRISIL A-(SO),30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,Gulla Sudhakara Rao,CRISIL B+/CRISIL A4,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,Gulshan Rai Jain II,CRISIL BB/CRISIL A4+,13-May-14,Suspended,5-Jan-16,"CRISIL BBB-/CRISILA3",31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4110,Gulzar Motors Private Limited,CRISIL BB-/CRISIL A4+,22-Jul-10,Suspended,30-May-14,"CRISIL BB/CRISILA4+",29-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,Guntur Spinning Mills Private Limited,CRISIL BB-,29-Jun-13,CRISIL BB,17-Oct-14,CRISIL BB+,14-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,Gupta Agencies,CRISIL B/CRISIL A4,9-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,Gupta and Company,CRISIL BB-/CRISIL A4+,11-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4114,Gupta Enterprises (Delhi),CRISIL BB/CRISIL A4+,28-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4115,Gupta Foods,CRISIL B+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116,Gupta Global Resources Private Limited,CRISIL D/CRISIL D,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4117,Gupta Infotech,CRISIL B+/CRISIL A4,11-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4118,Gupta Power Infrastructure Limited,CRISIL BBB/CRISIL A2,21-May-08,"CRISILBBB+/CRISIL A2",6-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,Gupta Rice and General Mills,CRISIL B-,29-Nov-12,CRISIL B,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120,Gupta Sons,CRISIL BB,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121,Gupta Steel (Ship Breakers),CRISIL BBB-/CRISIL A3,30-Sep-10,Suspended,10-Dec-15,"CRISIL BBB-/CRISILA3",9-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4122,Gupta Textiles,CRISIL A4,19-Jul-11,Suspended,25-Apr-13,CRISIL A4,29-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,Gupta Threads Limited,CRISIL BB-/CRISIL A4+,23-Jan-14,"CRISIL BB/CRISILA4+",28-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4124,Gupta Transformer Products,CRISIL B+/CRISIL A4,23-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125,Guranditta Mal Mohan Lal,CRISIL BB-,9-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4126,Guranditta Mal Tilak Raj,CRISIL B/CRISIL A4,23-Jan-13,"CRISIL BB-/CRISILA4+",7-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127,Gurdas Exports,CRISIL BB/CRISIL A4+,31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4128,Gurmon Hotels Private Limited,CRISIL B,30-Nov-13,CRISIL B-,11-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4129,Gurnam Singh and Co.,CRISIL BB/CRISIL A4+,18-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130,Guru Gobind Food & Agro Private Limited,CRISIL D,29-Oct-15,CRISIL B-,4-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,Guru Gobind Singh Educational Charitable Trust,CRISIL D,29-Nov-12,CRISIL B,17-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4132,Guru Kirpa Agro Foods,CRISIL B+/CRISIL A4,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4133,Guru Kirpa Agro Industries - Firozpur,CRISIL B,17-Dec-15,CRISIL B+,2-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4134,Guru Kirpa Foods Private Limited,CRISIL D,18-Dec-12,CRISIL B,16-Apr-15,CRISIL D,20-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4135,Guru Kirpa Rice Mills,CRISIL B+,6-Jun-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4136,Guru Nanak Dev Educational Society,CRISIL B,16-Jul-14,CRISIL B+,23-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4137,Guru Nanak International Private Limited,CRISIL B+,24-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4138,Guru Nanak Milk Products,CRISIL B,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4139,Guru Nanak Rice Mill - Bilaspur,CRISIL B-,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140,Guru Rajendra Metals Private Limited,CRISIL BB-/CRISIL A4+,27-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4141,Gurudev Overseas Limited,CRISIL B+/CRISIL A4,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,Gurudeva Charitable Trust,CRISIL D,8-Jan-14,Suspended,16-Jul-15,CRISIL B-,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4143,Gurudeva Trust,CRISIL B/CRISIL A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4144,Gurulaxmi Cottex Private Limited,CRISIL B-/CRISIL A4,31-Jan-13,"CRISIL BB/CRISILA4+",15-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,Guruvayoor Infrastructure Private Limited,CRISIL BBB-,2-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4146,Guskara Himghar Private Limited,CRISIL B-,27-May-13,CRISIL B,19-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,GVK Biosciences Private Limited,CRISIL A+/CRISIL A1,2-Jul-08,"CRISIL A+/CRISILA1+",23-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,GVK Jaipur Expressway Private Limited,CRISIL AA-,31-Mar-09,CRISIL AA+,1-Dec-10,CRISIL AA-(SO),10-Apr-12,"CRISIL AA-(SO)/CRISIL A1+",7-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,GVP Infra Projects Private Limited,CRISIL D,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150,GVR Khandaphod Bijwad Road Project Private Limited,CRISIL BB+,26-Feb-13,CRISIL BBB-,7-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4151,GVR Nutries Private Limited,CRISIL BB+,19-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4152,"GVR RMN Hubli Lakshmeshwar Road Project PrivateLimited",CRISIL BB,26-Feb-13,CRISIL BB-,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4153,GVRMP Dharwad Ramanagar Tollway Private Limited,CRISIL D,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,GVRMP Whagdhari Ribbanpally Tollway Private Limited,CRISIL BBB-,28-Jun-13,Suspended,7-Dec-14,CRISIL BBB,16-Sep-15,CRISIL B,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4155,GVV Constructions Private Limited,CRISIL BBB-/CRISIL A3,28-Aug-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,Gwalior Alcobrew Private Limited,CRISIL BBB-/CRISIL A3,12-Nov-09,"CRISIL BBB/CRISILA3+",16-May-11,"CRISIL BBB+/CRISILA2",8-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4157,Gyan Sagar Foundation,CRISIL BB,2-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4158,Gyan Shakti Education Welfare Trust,CRISIL B,4-Sep-14,CRISIL D,28-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4159,Gyansagar Textile Private Limited,CRISIL B+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4160,Gyasi Ram Educational Society,CRISIL D/CRISIL D,18-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4161,H Dipak and Co.,CRISIL A2+,30-May-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4162,H K Lumbers LLP,CRISIL B/CRISIL A4,27-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163,H M International,CRISIL B+/CRISIL A4,23-Jan-12,CRISIL B/CRISIL A4,6-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,H M Steels Limited,CRISIL BBB-/CRISIL A3,16-Apr-09,"CRISIL BB+/CRISILA4+",15-Jan-13,Suspended,9-Jul-13,"CRISIL B-/CRISILA4",21-Jul-14,"CRISILD/CRISIL D",28-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4165,H P Rama Reddy,CRISIL B+,15-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4166,H R Ispat Private Limited,CRISIL BB-/CRISIL A4+,28-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4167,H. K. Industries,CRISIL B,20-Apr-15,CRISIL B+,4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4168,H. K. International,CRISIL B+,17-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4169,H. K. Kalchuri Education Trust,CRISIL BBB-,4-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4170,H. K. Timbers Private Limited,CRISIL B/CRISIL A4,10-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4171,H. L. Passey Engineering Private Limited,CRISIL BB/CRISIL A4+,30-Jun-15,"CRISIL BB-/CRISILA4+",14-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4172,H. M. and Company Medisales Private Limited,CRISIL BB-,20-Aug-14,CRISIL B,25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4173,H. N. Agri Serve Private Limited,CRISIL B-,16-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4174,H. P. Madhukar,CRISIL BB/CRISIL A4,12-May-09,"CRISIL BB/CRISILA4+",15-Sep-09,Suspended,5-Oct-10,"CRISIL BB-/CRISIL A4+",30-Sep-13,"CRISILBB/CRISIL A4+",27-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4175,H. P. Zala,CRISIL B-/CRISIL A4,24-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4176,H. R. International Limited,CRISIL BB/CRISIL A4+,29-Dec-09,CRISIL D/CRISIL D,15-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
